,Player,Pos,Year,Week,Team,Opponent Abbrev,Date,H/A,OT,Team Score,Opponent Score,Spread,Over/Under,Actual Margin,Indoor/Outdoor,Surface,Weather,Temperature,Wind,Sk,Int,Int TD,FF,FR,Fum TD,QBHits,TFL,Oppt Int TD,Oppt Fum TD,Oppt Punt TD,Oppt Kick TD
26270,NE DST,DST,2015,1,NE,,9/10/2015,A,,,21,7,52,7,outdoors,fieldturf ,"65 degrees relative humidity 0%, wind 7 mph, wind chill 0",65,7,3,1,0,0,0,0,5,5,0,0,0,0
26271,PIT DST,DST,2015,1,PIT,,9/10/2015,H,,,28,-7,52,-7,outdoors,fieldturf ,"65 degrees relative humidity 0%, wind 7 mph, wind chill 0",65,7,2,0,0,1,0,0,5,4,0,0,0,0
26272,BUF DST,DST,2015,1,BUF,,9/13/2015,A,,,14,-2.5,45,13,outdoors,a_turf,"56 degrees relative humidity 78%, wind 15 mph, wind chill 0",56,15,2,2,0,0,1,0,6,1,0,0,0,0
26273,IND DST,DST,2015,1,IND,,9/13/2015,H,,,27,2.5,45,-13,outdoors,a_turf,"56 degrees relative humidity 78%, wind 15 mph, wind chill 0",56,15,0,0,0,1,1,0,0,8,0,0,0,0
26274,CHI DST,DST,2015,1,CHI,,9/13/2015,A,,,31,-6.5,49,-8,outdoors,grass ,"72 degrees relative humidity 39%, wind 11 mph, wind chill 0",72,11,0,0,0,0,0,0,0,2,0,0,0,0
26275,GB DST,DST,2015,1,GB,,9/13/2015,H,,,23,6.5,49,8,outdoors,grass ,"72 degrees relative humidity 39%, wind 11 mph, wind chill 0",72,11,2,1,0,0,0,0,7,2,0,0,0,0
26276,ARI DST,DST,2015,1,ARI,,9/13/2015,A,,,19,2,48.5,12,retractable roof (closed),grass ,indoors,,,2,1,0,0,0,0,3,5,0,0,0,0
26277,NO DST,DST,2015,1,NO,,9/13/2015,H,,,31,-2,48.5,-12,retractable roof (closed),grass ,indoors,,,0,0,0,1,1,0,1,3,0,0,0,0
26278,DAL DST,DST,2015,1,DAL,,9/13/2015,A,,,26,6,51.5,1,retractable roof (closed),matrixturf,indoors,,,1,0,0,0,0,0,5,4,0,1,0,0
26279,NYG DST,DST,2015,1,NYG,,9/13/2015,H,,,27,-6,51.5,-1,retractable roof (closed),matrixturf,indoors,,,0,2,0,2,1,1,,,0,0,0,0
26280,BAL DST,DST,2015,1,BAL,,9/13/2015,H,,,19,-4.5,48,-6,outdoors,grass ,"88 degrees relative humidity 8%, wind 13 mph, wind chill 0",88,13,4,1,1,0,0,0,5,8,1,0,0,0
26281,DEN DST,DST,2015,1,DEN,,9/13/2015,A,,,13,4.5,48,6,outdoors,grass ,"88 degrees relative humidity 8%, wind 13 mph, wind chill 0",88,13,2,2,1,0,0,0,7,7,1,0,0,0
26282,HOU DST,DST,2015,1,HOU,,9/13/2015,A,,,27,1,41,-7,retractable roof (closed),grass ,indoors,,,2,0,0,1,1,0,3,7,0,0,0,0
26283,KC DST,DST,2015,1,KC,,9/13/2015,H,,,20,-1,41,7,retractable roof (closed),grass ,indoors,,,5,1,0,1,2,0,,,0,0,0,0
26284,CAR DST,DST,2015,1,CAR,,9/13/2015,H,,,9,3,40.5,11,outdoors,grass ,"77 degrees relative humidity 55%, wind 7 mph, wind chill 0",77,7,5,2,1,1,1,0,7,8,0,0,0,0
26285,JAX DST,DST,2015,1,JAX,,9/13/2015,A,,,20,-3,40.5,-11,outdoors,grass ,"77 degrees relative humidity 55%, wind 7 mph, wind chill 0",77,7,2,1,0,0,0,0,2,6,1,0,0,0
26286,CLE DST,DST,2015,1,CLE,,9/13/2015,H,,,31,-3.5,39.5,-21,outdoors,fieldturf ,"77 degrees relative humidity 49%, wind 8 mph, wind chill 0",77,8,0,1,0,0,0,0,2,3,0,0,0,0
26287,NYJ DST,DST,2015,1,NYJ,,9/13/2015,A,,,10,3.5,39.5,21,outdoors,fieldturf ,"77 degrees relative humidity 49%, wind 8 mph, wind chill 0",77,8,3,1,0,3,4,0,,,0,0,0,0
26288,CIN DST,DST,2015,1,CIN,,9/13/2015,H,,,13,3,43,20,outdoors,grass ,"73 degrees relative humidity 59%, wind 9 mph, wind chill 0",73,9,2,1,0,2,1,0,5,2,0,0,0,0
26289,OAK DST,DST,2015,1,OAK,,9/13/2015,A,,,33,-3,43,-20,outdoors,grass ,"73 degrees relative humidity 59%, wind 9 mph, wind chill 0",73,9,0,0,0,0,0,0,2,2,0,0,0,0
26290,SEA DST,DST,2015,1,SEA,,9/13/2015,H,OT,,34,4,40.5,-3,dome,astroplay,indoors,,,2,0,0,2,3,1,8,7,0,0,1,0
26291,LAR DST,DST,2015,1,LAR,,9/13/2015,A,OT,,31,-4,40.5,3,dome,astroplay,indoors,,,6,1,0,0,1,0,9,7,0,1,1,0
26292,DET DST,DST,2015,1,DET,,9/13/2015,H,,,33,-2.5,45.5,-5,outdoors,grass ,"84 degrees relative humidity 47%, wind 10 mph, wind chill 0",84,10,2,2,1,1,1,0,6,7,0,0,0,0
26293,LAC DST,DST,2015,1,LAC,,9/13/2015,A,,,28,2.5,45.5,5,outdoors,grass ,"84 degrees relative humidity 47%, wind 10 mph, wind chill 0",84,10,1,2,0,1,0,0,3,4,1,0,0,0
26294,TB DST,DST,2015,1,TB,,9/13/2015,A,,,42,3,41,-28,outdoors,grass ,"84 degrees relative humidity 66%, wind 8 mph",84,8,2,0,0,2,1,0,2,3,1,0,0,0
26295,TEN DST,DST,2015,1,TEN,,9/13/2015,H,,,14,-3,41,28,outdoors,grass ,"84 degrees relative humidity 66%, wind 8 mph",84,8,4,2,1,1,0,0,6,7,0,0,0,0
26296,MIA DST,DST,2015,1,MIA,,9/13/2015,H,,,10,3,43.5,7,outdoors,grass ,"69 degrees relative humidity 58%, wind 10 mph, wind chill 0",69,10,1,2,0,0,1,0,,,0,0,0,0
26297,WAS DST,DST,2015,1,WAS,,9/13/2015,A,,,17,-3,43.5,-7,outdoors,grass ,"69 degrees relative humidity 58%, wind 10 mph, wind chill 0",69,10,3,0,0,2,1,0,5,3,0,0,1,0
