,Player,Pos,Year,Week,Team,Opponent Abbrev,Date,Game ID,H/A,OT,Team Score,Opponent Score,Spread,Over/Under,Implied Points,Actual Margin,Indoor/Outdoor,Surface,Weather,Temperature,Wind,Pass Att,Pass Cmp,Pass Yds,Pass TD,Pass Int,Pass Lng,Pass Rate,Pass Sk,Pass Sk Yds,Rush Att,Rush Yds,Rush TD,Rush Lng,Rec Tgt,Rec Rec,Rec Yds,Rec TD,Rec Lng,Fmb,FL,2PT,Kick Ret,Kick Yds,Kick TD,Kick Lng,Kick YPR,Punt Ret,Punt Yds,Punt TD,Punt Lng,Punt YPR,Short L Tgt,Short L Ctch,Short L Yds,Short L TD,Short M Tgt,Short M Ctch,Short M Yds,Short M TD,Short R Tgt,Short R Ctch,Short R Yds,Short R TD,Deep L Tgt,Deep L Ctch,Deep L Yds,Deep L TD,Deep M Tgt,Deep M Ctch,Deep M Yds,Deep M TD,Deep R Tgt,Deep R Ctch,Deep R Yds,Deep R TD,No Dir Tgt,No Dir Ctch,No Dir Yds,No Dir TD,Off Num,Off Pct,Def Num,Def Pct,ST Num,ST Pct,DKP,DKSalary,FDP,FDSalary,DK_Total_FP,FD_Total_FP,YH_Total_FP,Sk,Int,Int TD,FF,FR,Fum TD,QBHits,TFL,Oppt Int TD,Oppt Fum TD,Oppt Punt TD,Oppt Kick TD,FGM,FGA,FG 0-19,FG 20-29,FG 30-39,FG 40-49,FG 50+,XPM,XPA,Pnt,Yds,Y/P
54,Alex Armah,FB,2019,1,CAR,LAR,2019-09-08,201909080car,H,,27.0,30,1.5,49.5,24.0,3,outdoors,grass,"87 degrees, relative humidity 53%, wind 3 mph",87.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,18%,0.0,0%,20.0,57%,6.1,3000.0,6.1,4500.0,6.1,6.1,6.1,,,,,,,,,,,,,,,,,,,,,,,,
88,Patrick DiMarco,FB,2019,1,BUF,NYJ,2019-09-08,201909080nyj,A,,17.0,16,2.5,41.0,19.25,-1,outdoors,fieldturf ,"77 degrees, relative humidity 46%, wind 6 mph",77.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,9.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,47%,0.0,0%,6.0,26%,2.9,3000.0,1.9,4500.0,2.9,1.9,1.9,,,,,,,,,,,,,,,,,,,,,,,,
130,Patrick Ricard,FB,2019,1,BAL,MIA,2019-09-08,201909080mia,A,,59.0,10,-7.0,41.0,24.0,-49,outdoors,grass,"91 degrees, relative humidity 56%, wind 8 mph",91.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,32%,11.0,22%,4.0,13%,7.1,3000.0,6.6,4500.0,7.1,6.6,6.6,,,,,,,,,,,,,,,,,,,,,,,,
149,Anthony Sherman,FB,2019,1,KAN,JAX,2019-09-08,201909080jax,A,,40.0,26,-3.5,49.0,26.25,-14,outdoors,grass,"91 degrees, relative humidity 54%, wind 6 mph",91.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,15%,0.0,0%,24.0,80%,2.5,3000.0,2.0,4500.0,2.5,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
194,Derek Watt,FB,2019,1,LAC,IND,2019-09-08,201909080sdg,H,OT,30.0,24,-6.0,44.5,25.25,-6,outdoors,grass,"77 degrees, relative humidity 52%, wind 10 mph",77.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,24%,0.0,0%,21.0,81%,0.4,3000.0,0.4,4500.0,0.4,0.4,0.4,,,,,,,,,,,,,,,,,,,,,,,,
242,Jamize Olawale,FB,2019,1,DAL,NYG,2019-09-08,201909080dal,H,,35.0,17,-7.0,44.0,25.5,-18,retractable roof (closed),fieldturf,indoors,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,24%,0.0,0%,17.0,66%,0.0,3000.0,0.0,4500.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
344,Kyle Juszczyk,FB,2019,2,SFO,CIN,2019-09-15,201909150cin,A,,41.0,17,1.0,46.0,22.5,-24,outdoors,grass,"81 degrees, relative humidity 45%, wind 5 mph",81.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,6.0,2.0,1.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,53%,0.0,0%,3.0,10%,2.1,3000.0,1.6,4600.0,2.1,1.6,1.6,,,,,,,,,,,,,,,,,,,,,,,,
398,Patrick Ricard,FB,2019,2,BAL,ARI,2019-09-15,201909150rav,H,,23.0,17,-13.0,46.0,29.5,-6,outdoors,grass,"82 degrees, relative humidity 60%, wind 8 mph",82.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,31%,12.0,21%,6.0,22%,1.3,3100.0,0.8,0.0,1.3,0.8,0.8,,,,,,,,,,,,,,,,,,,,,,,,
446,Patrick DiMarco,FB,2019,2,BUF,NYG,2019-09-15,201909150nyg,A,,28.0,14,-1.0,44.5,22.75,-14,outdoors,fieldturf ,"79 degrees, relative humidity 48%, wind 5 mph",79.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,19%,0.0,0%,11.0,39%,1.4,3000.0,0.9,0.0,1.4,0.9,0.9,,,,,,,,,,,,,,,,,,,,,,,,
469,James Develin,FB,2019,2,NWE,MIA,2019-09-15,201909150mia,A,,43.0,0,-18.0,48.5,33.25,-43,outdoors,grass,"87 degrees, relative humidity 67%, wind 4 mph",87.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,37%,0.0,0%,4.0,15%,0.3,3000.0,0.3,4500.0,0.3,0.3,0.3,,,,,,,,,,,,,,,,,,,,,,,,
513,CJ Ham,FB,2019,2,MIN,GNB,2019-09-15,201909150gnb,A,,16.0,21,3.0,43.0,20.0,5,outdoors,grass,"72 degrees, relative humidity 75%, wind 5 mph",72.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,38%,0.0,0%,21.0,72%,0.0,3000.0,0.0,4500.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
532,Derek Watt,FB,2019,2,LAC,DET,2019-09-15,201909150det,A,,10.0,13,-1.0,47.0,24.0,3,dome,fieldturf,indoors,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,9%,0.0,0%,18.0,86%,1.3,3000.0,0.8,4500.0,1.3,0.8,0.8,,,,,,,,,,,,,,,,,,,,,,,,
573,Zach Line,FB,2019,2,NOR,LAR,2019-09-15,201909150ram,A,,9.0,27,2.0,52.5,25.25,18,outdoors,grass,"85 degrees, relative humidity 44%, wind 4 mph",85.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,33%,0.0,0%,15.0,56%,0.0,3000.0,0.0,4500.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
742,CJ Ham,FB,2019,3,MIN,OAK,2019-09-22,201909220min,H,,34.0,14,-8.5,43.0,25.75,-20,dome,sportturf,indoors,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,40%,0.0,0%,14.0,56%,1.0,3000.0,0.5,4500.0,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,
