,Player,Pos,Year,Week,Team,Opponent Abbrev,Date,Game ID,H/A,OT,Team Score,Opponent Score,Spread,Over/Under,Implied Points,Actual Margin,Indoor/Outdoor,Surface,Weather,Temperature,Wind,FGM,FGA,FG 0-19,FG 20-29,FG 30-39,FG 40-49,FG 50+,XPM,XPA,Pnt,Yds,Y/P
1639,Jake Elliott,K,2019,6,PHI,MIN,10/13/2019,201910130min,A,,20,38,3.5,44,20.25,18,dome,sportturf,indoors,,,,,,,,,,,,,,
3693,Jason Sanders,K,2019,13,MIA,PHI,12/1/2019,201912010mia,H,,37,31,10.5,45,17.25,-6,outdoors,grass,"65,545",,,,,,,,,,,,,,
6007,Mason Crosby,K,2018,3,GNB,WAS,9/23/2018,201809230was,A,,17,31,-2.5,45.5,24,14,outdoors,grass ,"62 degrees, wind 6 mph",62,6,,,,,,,,,,,,
6677,Stephen Hauschka,K,2018,5,BUF,TEN,10/7/2018,201810070buf,H,,13,12,6,38.5,16.25,-1,outdoors,a_turf,"62 degrees, wind 8 mph",62,8,,,,,,,,,,,,
8707,Chris Boswell,K,2018,12,PIT,DEN,11/25/2018,201811250den,A,,17,24,-3,47.5,25.25,7,outdoors,grass ,"41 degrees, wind 7 mph",41,7,,,,,,,,,,,,
10181,Matt Prater,K,2018,17,DET,GNB,12/30/2018,201812300gnb,A,,31,0,7.5,44.5,18.5,-31,outdoors,grass ,"26 degrees, wind 15 mph",26,15,,,,,,,,,,,,
15553,Wil Lutz,K,2017,17,NOR,TAM,12/31/2017,201712310tam,A,,24,31,-6,49,27.5,7,outdoors,grass ,"71 degrees, wind 3 mph",71,3,,,,,,,,,,,,
17094,Justin Tucker,K,2016,5,BAL,WAS,10/9/2016,201610090rav,H,,10,16,-4,44.5,24.25,6,outdoors,grass,"62 degrees relative humidity 53%, wind 16 mph, wind chill 0",62,16,,,,,,,,,,,,
20582,Brandon McManus,K,2016,16,DEN,KAN,12/25/2016,201612250kan,A,,10,33,3.5,38,17.25,23,outdoors,grass ,"53 degrees, wind 9 mph",53,9,,,,,,,,,,,,
26238,Cairo Santos,K,2015,17,KAN,OAK,1/3/2016,201601030kan,H,,23,17,-7,43,25,-6,outdoors,grass ,"37 degrees relative humidity 56%, wind 9 mph, wind chill 30",37,9,,,,,,,,,,,,
28830,Mason Crosby,K,2019,1,GNB,CHI,9/5/2019,201909050chi,A,,10,3,3.5,47,21.75,-7,outdoors,grass,"65 degrees, relative humidity 69%, wind 10 mph",65,10,1,1,0,0,1,0,0,1,1,0,0,
28831,Cairo Santos,K,2019,1,TEN,CLE,9/8/2019,201909080cle,A,,43,13,5.5,44,19.25,-30,outdoors,grass,"71 degrees, relative humidity 55%, wind 10 mph",71,10,2,2,0,0,1,0,1,5,5,0,0,
28832,Greg Zuerlein,K,2019,1,LAR,CAR,9/8/2019,201909080car,A,,30,27,-1.5,49.5,25.5,-3,outdoors,grass,"87 degrees, relative humidity 53%, wind 3 mph",87,3,3,4,0,1,0,1,1,3,3,0,0,
28833,Joey Slye,K,2019,1,CAR,LAR,9/8/2019,201909080car,H,,27,30,1.5,49.5,24,3,outdoors,grass,"87 degrees, relative humidity 53%, wind 3 mph",87,3,2,3,0,0,0,1,1,3,3,0,0,
28834,Dustin Hopkins,K,2019,1,WAS,PHI,9/8/2019,201909080phi,A,,27,32,10.5,44,16.75,5,outdoors,grass,"79 degrees, relative humidity 49%, wind 4 mph",79,4,2,2,0,0,0,2,0,3,3,0,0,
28835,Jake Elliott,K,2019,1,PHI,WAS,9/8/2019,201909080phi,H,,32,27,-10.5,44,27.25,-5,outdoors,grass,"79 degrees, relative humidity 49%, wind 4 mph",79,4,1,1,0,1,0,0,0,3,3,0,0,
28836,Stephen Hauschka,K,2019,1,BUF,NYJ,9/8/2019,201909080nyj,A,,17,16,2.5,41,19.25,-1,outdoors,fieldturf ,"77 degrees, relative humidity 46%, wind 6 mph",77,6,1,1,0,0,0,1,0,2,2,0,0,
28837,Justin Tucker,K,2019,1,BAL,MIA,9/8/2019,201909080mia,A,,59,10,-7,41,24,-49,outdoors,grass,"91 degrees, relative humidity 56%, wind 8 mph",91,8,1,1,0,0,1,0,0,8,8,0,0,
28838,Jason Sanders,K,2019,1,MIA,BAL,9/8/2019,201909080mia,H,,10,59,7,41,17,49,outdoors,grass,"91 degrees, relative humidity 56%, wind 8 mph",91,8,1,1,0,0,0,0,1,1,1,0,0,
28839,Harrison Butker,K,2019,1,KAN,JAX,9/8/2019,201909080jax,A,,40,26,-3.5,49,26.25,-14,outdoors,grass,"91 degrees, relative humidity 54%, wind 6 mph",91,6,4,4,0,2,1,1,0,4,4,0,0,
28840,Josh Lambo,K,2019,1,JAX,KAN,9/8/2019,201909080jax,H,,26,40,3.5,49,22.75,14,outdoors,grass,"91 degrees, relative humidity 54%, wind 6 mph",91,6,2,2,0,1,1,0,0,2,2,0,0,
28841,Randy Bullock,K,2019,1,CIN,SEA,9/8/2019,201909080sea,A,,20,21,9.5,44,17.25,1,outdoors,fieldturf,"64 degrees, relative humidity 82%, wind 7 mph",64,7,2,3,0,1,1,0,0,2,2,0,0,
28842,Adam Vinatieri,K,2019,1,IND,LAC,9/8/2019,201909080sdg,A,OT,24,30,6,44.5,19.25,6,outdoors,grass,"77 degrees, relative humidity 52%, wind 10 mph",77,10,1,3,0,0,0,1,0,1,2,0,0,
28843,Robbie Gould,K,2019,1,SFO,TAM,9/8/2019,201909080tam,A,,31,17,1,51,25,-14,outdoors,grass,"93 degrees, relative humidity 52%, wind 9 mph",93,9,3,4,0,1,1,1,0,2,2,0,0,
28844,Matt Gay,K,2019,1,TAM,SFO,9/8/2019,201909080tam,H,,17,31,-1,51,26,14,outdoors,grass,"93 degrees, relative humidity 52%, wind 9 mph",93,9,1,1,0,0,1,0,0,2,2,0,0,
