,Player,Pos,Year,Week,Team,Opponent Abbrev,Date,Game ID,H/A,OT,Team Score,Opponent Score,Spread,Over/Under,Implied Points,Actual Margin,Indoor/Outdoor,Surface,Weather,Temperature,Wind,Pass Att,Pass Cmp,Pass Yds,Pass TD,Pass Int,Pass Lng,Pass Rate,Pass Sk,Pass Sk Yds,Rush Att,Rush Yds,Rush TD,Rush Lng,Rec Tgt,Rec Rec,Rec Yds,Rec TD,Rec Lng,Fmb,FL,2PT,Off Num,Off Pct
4,Jimmy Graham,TE,2019,1,GNB,CHI,9/5/2019,201909050chi,A,,10,3,3.5,47,21.75,-7,outdoors,grass,"65 degrees, relative humidity 69%, wind 10 mph",65,10,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,30,1,16,0,0,0,33,54%
6,Robert Tonyan,TE,2019,1,GNB,CHI,9/5/2019,201909050chi,A,,10,3,3.5,47,21.75,-7,outdoors,grass,"65 degrees, relative humidity 69%, wind 10 mph",65,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,28,0,28,0,0,0,19,31%
8,Marcedes Lewis,TE,2019,1,GNB,CHI,9/5/2019,201909050chi,A,,10,3,3.5,47,21.75,-7,outdoors,grass,"65 degrees, relative humidity 69%, wind 10 mph",65,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,14,0,9,0,0,0,33,54%
15,Adam Shaheen,TE,2019,1,CHI,GNB,9/5/2019,201909050chi,H,,3,10,-3.5,47,25.25,7,outdoors,grass,"65 degrees, relative humidity 69%, wind 10 mph",65,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,6,0,6,0,0,0,33,46%
21,Jonnu Smith,TE,2019,1,TEN,CLE,9/8/2019,201909080cle,A,,43,13,5.5,44,19.25,-30,outdoors,grass,"71 degrees, relative humidity 55%, wind 10 mph",71,10,0,0,0,0,0,0,0,0,0,1,10,0,10,1,1,7,0,7,0,0,0,37,63%
24,Delanie Walker,TE,2019,1,TEN,CLE,9/8/2019,201909080cle,A,,43,13,5.5,44,19.25,-30,outdoors,grass,"71 degrees, relative humidity 55%, wind 10 mph",71,10,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,55,2,16,0,0,0,27,46%
27,MyCole Pruitt,TE,2019,1,TEN,CLE,9/8/2019,201909080cle,A,,43,13,5.5,44,19.25,-30,outdoors,grass,"71 degrees, relative humidity 55%, wind 10 mph",71,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,34,58%
38,David Njoku,TE,2019,1,CLE,TEN,9/8/2019,201909080cle,H,,13,43,-5.5,44,24.75,30,outdoors,grass,"71 degrees, relative humidity 55%, wind 10 mph",71,10,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,37,1,18,0,0,0,65,92%
40,Demetrius Harris,TE,2019,1,CLE,TEN,9/8/2019,201909080cle,H,,13,43,-5.5,44,24.75,30,outdoors,grass,"71 degrees, relative humidity 55%, wind 10 mph",71,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,15%
47,Tyler Higbee,TE,2019,1,LAR,CAR,9/8/2019,201909080car,A,,30,27,-1.5,49.5,25.5,-3,outdoors,grass,"87 degrees, relative humidity 53%, wind 3 mph",87,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,20,1,6,0,0,0,39,51%
