,Player,Pos,Year,Week,Team,Opponent Abbrev,Date,H/A,OT,Team Score,Opponent Score,Spread,Over/Under,Actual Margin,Indoor/Outdoor,Surface,Weather,Temperature,Wind,Rush Att,Rush Yds,Rush TD,Rush Lng,Rec Tgt,Rec Rec,Rec Yds,Rec TD,Rec Lng,Fmb,FL,2PT,Off Num,Off Pct
2,Marquez Valdes-Scantling,WR,2019,1,GNB,CHI,9/5/2019,A,,10,3,3.5,47,-7,outdoors,grass,"65 degrees, relative humidity 69%, wind 10 mph",65,10,1,0,0,0,6,4,52,0,47,0,0,0,41,67%
3,Davante Adams,WR,2019,1,GNB,CHI,9/5/2019,A,,10,3,3.5,47,-7,outdoors,grass,"65 degrees, relative humidity 69%, wind 10 mph",65,10,0,0,0,0,8,4,36,0,11,0,0,0,59,97%
5,Trevor Davis,WR,2019,1,GNB,CHI,9/5/2019,A,,10,3,3.5,47,-7,outdoors,grass,"65 degrees, relative humidity 69%, wind 10 mph",65,10,0,0,0,0,1,1,28,0,28,0,0,0,17,28%
12,Allen Robinson,WR,2019,1,CHI,GNB,9/5/2019,H,,3,10,-3.5,47,7,outdoors,grass,"65 degrees, relative humidity 69%, wind 10 mph",65,10,0,0,0,0,13,7,102,0,27,0,0,0,68,96%
14,Taylor Gabriel,WR,2019,1,CHI,GNB,9/5/2019,H,,3,10,-3.5,47,7,outdoors,grass,"65 degrees, relative humidity 69%, wind 10 mph",65,10,0,0,0,0,5,2,24,0,15,0,0,0,65,92%
16,Anthony Miller,WR,2019,1,CHI,GNB,9/5/2019,H,,3,10,-3.5,47,7,outdoors,grass,"65 degrees, relative humidity 69%, wind 10 mph",65,10,0,0,0,0,1,0,0,0,0,0,0,0,15,21%
17,Javon Wims,WR,2019,1,CHI,GNB,9/5/2019,H,,3,10,-3.5,47,7,outdoors,grass,"65 degrees, relative humidity 69%, wind 10 mph",65,10,0,0,0,0,2,0,0,0,0,0,0,0,20,28%
18,Cordarrelle Patterson,WR,2019,1,CHI,GNB,9/5/2019,H,,3,10,-3.5,47,7,outdoors,grass,"65 degrees, relative humidity 69%, wind 10 mph",65,10,1,-2,0,-2,3,1,3,0,3,0,0,0,20,28%
23,AJ Brown,WR,2019,1,TEN,CLE,9/8/2019,A,,43,13,5.5,44,-30,outdoors,grass,"71 degrees, relative humidity 55%, wind 10 mph",71,10,0,0,0,0,4,3,100,0,51,0,0,0,25,42%
25,Adam Humphries,WR,2019,1,TEN,CLE,9/8/2019,A,,43,13,5.5,44,-30,outdoors,grass,"71 degrees, relative humidity 55%, wind 10 mph",71,10,0,0,0,0,1,1,5,0,5,0,0,0,20,34%
26,Corey Davis,WR,2019,1,TEN,CLE,9/8/2019,A,,43,13,5.5,44,-30,outdoors,grass,"71 degrees, relative humidity 55%, wind 10 mph",71,10,0,0,0,0,3,0,0,0,0,0,0,0,43,73%
28,Tajae Sharpe,WR,2019,1,TEN,CLE,9/8/2019,A,,43,13,5.5,44,-30,outdoors,grass,"71 degrees, relative humidity 55%, wind 10 mph",71,10,0,0,0,0,2,0,0,0,0,0,0,0,29,49%
30,Darius Jennings,WR,2019,1,TEN,CLE,9/8/2019,A,,43,13,5.5,44,-30,outdoors,grass,"71 degrees, relative humidity 55%, wind 10 mph",71,10,0,0,0,0,0,0,0,0,0,0,0,0,5,8%
34,Jarvis Landry,WR,2019,1,CLE,TEN,9/8/2019,H,,13,43,-5.5,44,30,outdoors,grass,"71 degrees, relative humidity 55%, wind 10 mph",71,10,1,10,0,10,7,4,67,0,34,0,0,0,71,100%
36,Odell Beckham,WR,2019,1,CLE,TEN,9/8/2019,H,,13,43,-5.5,44,30,outdoors,grass,"71 degrees, relative humidity 55%, wind 10 mph",71,10,0,0,0,0,11,7,71,0,24,0,0,0,71,100%
37,Rashard Higgins,WR,2019,1,CLE,TEN,9/8/2019,H,,13,43,-5.5,44,30,outdoors,grass,"71 degrees, relative humidity 55%, wind 10 mph",71,10,0,0,0,0,3,2,46,0,35,0,0,0,31,44%
39,Damion Ratley,WR,2019,1,CLE,TEN,9/8/2019,H,,13,43,-5.5,44,30,outdoors,grass,"71 degrees, relative humidity 55%, wind 10 mph",71,10,0,0,0,0,2,2,17,0,10,0,0,0,35,49%
44,Robert Woods,WR,2019,1,LAR,CAR,9/8/2019,A,,30,27,-1.5,49.5,-3,outdoors,grass,"87 degrees, relative humidity 53%, wind 3 mph",87,3,2,16,0,20,13,8,70,0,22,0,0,0,72,95%
45,Cooper Kupp,WR,2019,1,LAR,CAR,9/8/2019,A,,30,27,-1.5,49.5,-3,outdoors,grass,"87 degrees, relative humidity 53%, wind 3 mph",87,3,0,0,0,0,10,7,46,0,10,0,0,0,68,89%
46,Brandin Cooks,WR,2019,1,LAR,CAR,9/8/2019,A,,30,27,-1.5,49.5,-3,outdoors,grass,"87 degrees, relative humidity 53%, wind 3 mph",87,3,0,0,0,0,6,2,39,0,24,0,0,0,70,92%
50,Josh Reynolds,WR,2019,1,LAR,CAR,9/8/2019,A,,30,27,-1.5,49.5,-3,outdoors,grass,"87 degrees, relative humidity 53%, wind 3 mph",87,3,0,0,0,0,2,0,0,0,0,0,0,0,25,33%
51,Jojo Natson,WR,2019,1,LAR,CAR,9/8/2019,A,,30,27,-1.5,49.5,-3,outdoors,grass,"87 degrees, relative humidity 53%, wind 3 mph",87,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%
55,DJ Moore,WR,2019,1,CAR,LAR,9/8/2019,H,,27,30,1.5,49.5,3,outdoors,grass,"87 degrees, relative humidity 53%, wind 3 mph",87,3,0,0,0,0,10,7,76,0,15,1,1,0,62,94%
57,Curtis Samuel,WR,2019,1,CAR,LAR,9/8/2019,H,,27,30,1.5,49.5,3,outdoors,grass,"87 degrees, relative humidity 53%, wind 3 mph",87,3,0,0,0,0,4,3,32,0,16,0,0,0,61,92%
58,Jarius Wright,WR,2019,1,CAR,LAR,9/8/2019,H,,27,30,1.5,49.5,3,outdoors,grass,"87 degrees, relative humidity 53%, wind 3 mph",87,3,0,0,0,0,1,1,14,0,14,0,0,0,39,59%
59,Chris Hogan,WR,2019,1,CAR,LAR,9/8/2019,H,,27,30,1.5,49.5,3,outdoors,grass,"87 degrees, relative humidity 53%, wind 3 mph",87,3,0,0,0,0,1,0,0,0,0,0,0,0,5,8%
61,Ray-Ray McCloud,WR,2019,1,CAR,LAR,9/8/2019,H,,27,30,1.5,49.5,3,outdoors,grass,"87 degrees, relative humidity 53%, wind 3 mph",87,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0%
65,Terry McLaurin,WR,2019,1,WAS,PHI,9/8/2019,A,,27,32,10.5,44,5,outdoors,grass,"79 degrees, relative humidity 49%, wind 4 mph",79,4,0,0,0,0,7,5,125,1,69,0,0,0,59,92%
67,Paul Richardson,WR,2019,1,WAS,PHI,9/8/2019,A,,27,32,10.5,44,5,outdoors,grass,"79 degrees, relative humidity 49%, wind 4 mph",79,4,0,0,0,0,7,4,36,0,17,0,0,0,51,80%
68,Trey Quinn,WR,2019,1,WAS,PHI,9/8/2019,A,,27,32,10.5,44,5,outdoors,grass,"79 degrees, relative humidity 49%, wind 4 mph",79,4,0,0,0,0,6,4,33,1,14,0,0,0,62,97%
69,Kelvin Harmon,WR,2019,1,WAS,PHI,9/8/2019,A,,27,32,10.5,44,5,outdoors,grass,"79 degrees, relative humidity 49%, wind 4 mph",79,4,0,0,0,0,2,2,31,0,21,0,0,0,13,20%
71,Steven Sims,WR,2019,1,WAS,PHI,9/8/2019,A,,27,32,10.5,44,5,outdoors,grass,"79 degrees, relative humidity 49%, wind 4 mph",79,4,0,0,0,0,0,0,0,0,0,0,0,0,5,8%
76,Alshon Jeffery,WR,2019,1,PHI,WAS,9/8/2019,H,,32,27,-10.5,44,-5,outdoors,grass,"79 degrees, relative humidity 49%, wind 4 mph",79,4,1,2,1,2,6,5,49,1,16,0,0,0,59,80%
77,DeSean Jackson,WR,2019,1,PHI,WAS,9/8/2019,H,,32,27,-10.5,44,-5,outdoors,grass,"79 degrees, relative humidity 49%, wind 4 mph",79,4,0,0,0,0,10,8,154,2,53,0,0,0,51,69%
80,Nelson Agholor,WR,2019,1,PHI,WAS,9/8/2019,H,,32,27,-10.5,44,-5,outdoors,grass,"79 degrees, relative humidity 49%, wind 4 mph",79,4,0,0,0,0,5,2,11,0,7,0,0,0,59,80%
84,John Brown,WR,2019,1,BUF,NYJ,9/8/2019,A,,17,16,2.5,41,-1,outdoors,fieldturf ,"77 degrees, relative humidity 46%, wind 6 mph",77,6,0,0,0,0,10,7,123,1,38,0,0,0,56,85%
85,Cole Beasley,WR,2019,1,BUF,NYJ,9/8/2019,A,,17,16,2.5,41,-1,outdoors,fieldturf ,"77 degrees, relative humidity 46%, wind 6 mph",77,6,0,0,0,0,9,5,40,0,10,0,0,0,45,68%
87,Zay Jones,WR,2019,1,BUF,NYJ,9/8/2019,A,,17,16,2.5,41,-1,outdoors,fieldturf ,"77 degrees, relative humidity 46%, wind 6 mph",77,6,0,0,0,0,4,2,18,0,20,0,0,0,29,44%
92,Jamison Crowder,WR,2019,1,NYJ,BUF,9/8/2019,H,,16,17,-2.5,41,1,outdoors,fieldturf ,"77 degrees, relative humidity 46%, wind 6 mph",77,6,1,4,0,4,17,14,99,0,19,0,0,0,64,90%
94,Robby Anderson,WR,2019,1,NYJ,BUF,9/8/2019,H,,16,17,-2.5,41,1,outdoors,fieldturf ,"77 degrees, relative humidity 46%, wind 6 mph",77,6,0,0,0,0,7,3,23,0,9,0,0,0,68,96%
95,Josh Bellamy,WR,2019,1,NYJ,BUF,9/8/2019,H,,16,17,-2.5,41,1,outdoors,fieldturf ,"77 degrees, relative humidity 46%, wind 6 mph",77,6,0,0,0,0,1,1,15,0,15,0,0,0,6,8%
97,Quincy Enunwa,WR,2019,1,NYJ,BUF,9/8/2019,H,,16,17,-2.5,41,1,outdoors,fieldturf ,"77 degrees, relative humidity 46%, wind 6 mph",77,6,0,0,0,0,3,1,-4,0,8,1,1,0,65,92%
98,Braxton Berrios,WR,2019,1,NYJ,BUF,9/8/2019,H,,16,17,-2.5,41,1,outdoors,fieldturf ,"77 degrees, relative humidity 46%, wind 6 mph",77,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0%
103,Calvin Ridley,WR,2019,1,ATL,MIN,9/8/2019,A,,12,28,3.5,47,16,dome,sportturf,indoors,,,0,0,0,0,6,4,64,1,20,0,0,0,57,77%
104,Mohamed Sanu,WR,2019,1,ATL,MIN,9/8/2019,A,,12,28,3.5,47,16,dome,sportturf,indoors,,,0,0,0,0,6,5,57,0,23,0,0,0,62,84%
105,Justin Hardy,WR,2019,1,ATL,MIN,9/8/2019,A,,12,28,3.5,47,16,dome,sportturf,indoors,,,0,0,0,0,5,4,41,0,23,0,0,0,21,28%
106,Julio Jones,WR,2019,1,ATL,MIN,9/8/2019,A,,12,28,3.5,47,16,dome,sportturf,indoors,,,0,0,0,0,11,6,31,1,10,0,0,0,50,68%
108,Russell Gage,WR,2019,1,ATL,MIN,9/8/2019,A,,12,28,3.5,47,16,dome,sportturf,indoors,,,1,-1,0,-1,2,1,13,0,13,0,0,0,13,18%
114,Adam Thielen,WR,2019,1,MIN,ATL,9/8/2019,H,,28,12,-3.5,47,-16,dome,sportturf,indoors,,,0,0,0,0,3,3,43,1,23,0,0,0,47,87%
115,Stefon Diggs,WR,2019,1,MIN,ATL,9/8/2019,H,,28,12,-3.5,47,-16,dome,sportturf,indoors,,,0,0,0,0,2,2,37,0,31,0,0,0,32,59%
116,Chad Beebe,WR,2019,1,MIN,ATL,9/8/2019,H,,28,12,-3.5,47,-16,dome,sportturf,indoors,,,0,0,0,0,1,1,9,0,9,0,0,0,14,26%
123,Marquise Brown,WR,2019,1,BAL,MIA,9/8/2019,A,,59,10,-7,41,-49,outdoors,grass,"91 degrees, relative humidity 56%, wind 8 mph",91,8,0,0,0,0,5,4,147,2,83,0,0,0,14,18%
125,Willie Snead,WR,2019,1,BAL,MIA,9/8/2019,A,,59,10,-7,41,-49,outdoors,grass,"91 degrees, relative humidity 56%, wind 8 mph",91,8,0,0,0,0,3,2,41,1,33,0,0,0,49,64%
